Time, Quad.GPS.X,,,Time, Quad.IMU.AX,,,
,,,,1.305005,0.05982,,,
,,,,1.310005,-0.529729,,,
,,,,1.315005,0.052275,,,
,,,,1.320006,-0.164201,,,
,,,,1.325006,0.3714,,,
,,,,1.330006,0.020373,,,
,,,,1.335006,-0.253775,,,
,,,,1.340007,0.244194,,,
,,,,1.345007,-0.419129,,,
,,,,1.350007,0.128223,,,
,,,,1.355007,-0.728583,,,
,,,,1.360008,-0.230309,,,
,,,,1.365008,-0.160547,,,
,,,,1.370008,-0.288196,,,
,,,,1.375008,1.212454,,,
,,,,1.380008,-0.572284,,,
,,,,1.385009,0.21904,,,
,,,,1.390009,-0.131546,,,
,,,,1.395009,0.184014,,,
,,,,1.400009,-0.009496,,,
,,,,1.40501,1.170271,,,
,,,,1.41001,-0.150336,,,
,,,,1.41501,-0.366133,,,
,,,,1.42001,0.456712,,,
,,,,1.425011,-0.367914,,,
,,,,1.430011,0.895245,,,
,,,,1.435011,-0.053252,,,
,,,,1.440011,-0.140042,,,
,,,,1.445011,0.494004,,,
,,,,1.450012,-0.001146,,,
,,,,1.455012,-0.653404,,,
,,,,1.460012,-0.213117,,,
,,,,1.465012,0.22129,,,
,,,,1.470013,0.209879,,,
,,,,1.475013,0.685272,,,
,,,,1.480013,-0.849948,,,
,,,,1.485013,-0.447252,,,
,,,,1.490014,0.440455,,,
,,,,1.495014,0.573024,,,
,,,,1.500014,0.154096,,,
,,,,1.505014,0.068908,,,
,,,,1.510015,0.46638,,,
,,,,1.515015,-0.048127,,,
,,,,1.520015,0.180503,,,
,,,,1.525015,0.51824,,,
,,,,1.530015,0.20547,,,
,,,,1.535016,-0.84934,,,
,,,,1.540016,0.010331,,,
,,,,1.545016,-0.189761,,,
,,,,1.550016,0.36506,,,
,,,,1.555017,0.193537,,,
,,,,1.560017,0.531313,,,
,,,,1.565017,0.653832,,,
,,,,1.570017,0.387766,,,
,,,,1.575018,-0.895613,,,
,,,,1.580018,-0.189684,,,
,,,,1.585018,-0.639772,,,
,,,,1.590018,-0.044317,,,
,,,,1.595019,-0.153896,,,
,,,,1.600019,-0.762021,,,
,,,,1.605019,0.024704,,,
,,,,1.610019,0.025911,,,
,,,,1.615019,0.121113,,,
,,,,1.62002,-1.076671,,,
,,,,1.62502,-0.129787,,,
,,,,1.63002,-0.443141,,,
,,,,1.63502,0.641585,,,
,,,,1.640021,0.453537,,,
,,,,1.645021,-0.240587,,,
,,,,1.650021,-0.558663,,,
,,,,1.655021,-0.197102,,,
,,,,1.660022,0.201779,,,
,,,,1.665022,0.444041,,,
,,,,1.670022,0.72784,,,
,,,,1.675022,0.666053,,,
,,,,1.680022,0.717033,,,
,,,,1.685023,0.498938,,,
,,,,1.690023,0.657458,,,
,,,,1.695023,-0.001877,,,
,,,,1.700023,0.057703,,,
,,,,1.705024,-0.671982,,,
,,,,1.710024,0.211456,,,
,,,,1.715024,-0.115405,,,
,,,,1.720024,-0.836499,,,
,,,,1.725025,-0.139149,,,
,,,,1.730025,-0.741563,,,
,,,,1.735025,0.055647,,,
,,,,1.740025,-0.037804,,,
,,,,1.745026,0.339779,,,
,,,,1.750026,0.107195,,,
,,,,1.755026,-0.37055,,,
